Time_µs	C1 Voltage_mV
4.966620E+0	1.562500E+1
4.990620E+0	1.562500E+1
5.014620E+0	0.000000E+0
5.038620E+0	1.562500E+1
5.062620E+0	1.562500E+1
5.086620E+0	0.000000E+0
5.110620E+0	-1.562500E+1
5.134620E+0	0.000000E+0
5.158620E+0	0.000000E+0
5.182620E+0	-1.562500E+1
5.206620E+0	0.000000E+0
5.230620E+0	-1.562500E+1
5.254620E+0	1.562500E+1
5.278620E+0	3.125000E+1
5.302620E+0	1.562500E+1
5.326620E+0	-1.562500E+1
5.350620E+0	-1.562500E+1
5.374620E+0	1.562500E+1
5.398620E+0	0.000000E+0
5.422620E+0	1.562500E+1
5.446620E+0	1.562500E+1
5.470620E+0	0.000000E+0
5.494620E+0	1.562500E+1
5.518620E+0	-1.562500E+1
5.542620E+0	1.562500E+1
5.566620E+0	1.562500E+1
5.590620E+0	1.562500E+1
5.614620E+0	1.562500E+1
5.638620E+0	1.562500E+1
5.662620E+0	1.562500E+1
5.686620E+0	3.125000E+1
5.710620E+0	-3.125000E+1
5.734620E+0	0.000000E+0
5.758620E+0	1.562500E+1
5.782620E+0	1.562500E+1
5.806620E+0	0.000000E+0
5.830620E+0	0.000000E+0
5.854620E+0	-1.562500E+1
5.878620E+0	-1.562500E+1
5.902620E+0	1.562500E+1
5.926620E+0	1.562500E+1
5.950620E+0	-1.562500E+1
5.974620E+0	-1.562500E+1
5.998620E+0	3.125000E+1
6.022620E+0	-3.125000E+1
6.046620E+0	-1.562500E+1
6.070620E+0	0.000000E+0
6.094620E+0	0.000000E+0
6.118620E+0	-1.562500E+1
6.142620E+0	1.562500E+1
6.166620E+0	1.562500E+1
6.190620E+0	0.000000E+0
6.214620E+0	1.562500E+1
6.238620E+0	0.000000E+0
6.262620E+0	0.000000E+0
6.286620E+0	-1.562500E+1
6.310620E+0	1.562500E+1
6.334620E+0	1.562500E+1
6.358620E+0	-1.562500E+1
6.382620E+0	-1.562500E+1
6.406620E+0	0.000000E+0
6.430620E+0	1.562500E+1
6.454620E+0	-1.562500E+1
6.478620E+0	-1.562500E+1
6.502620E+0	1.562500E+1
6.526620E+0	3.125000E+1
6.550620E+0	-1.562500E+1
6.574620E+0	0.000000E+0
6.598620E+0	1.562500E+1
6.622620E+0	3.125000E+1
6.646620E+0	3.125000E+1
6.670620E+0	-1.562500E+1
6.694620E+0	0.000000E+0
6.718620E+0	3.125000E+1
6.742620E+0	0.000000E+0
6.766620E+0	-1.562500E+1
6.790620E+0	0.000000E+0
6.814620E+0	0.000000E+0
6.838620E+0	1.562500E+1
6.862620E+0	-1.562500E+1
6.886620E+0	-1.562500E+1
6.910620E+0	1.562500E+1
6.934620E+0	0.000000E+0
6.958620E+0	-1.562500E+1
6.982620E+0	3.125000E+1
7.006620E+0	0.000000E+0
7.030620E+0	1.562500E+1
7.054620E+0	-1.562500E+1
7.078620E+0	-1.562500E+1
7.102620E+0	0.000000E+0
